Epoch	Train	Validation
epoch: 57, step: 61, time: 43.8, train: 76.280, valid: 100.964, train_acc: 0.066, valid_acc: 0.058
epoch: 58, step: 62, time: 42.1, train: 75.827, valid: 100.828, train_acc: 0.064, valid_acc: 0.055
epoch: 59, step: 63, time: 40.2, train: 76.064, valid: 100.252, train_acc: 0.062, valid_acc: 0.058
epoch: 60, step: 64, time: 42.9, train: 76.310, valid: 98.176, train_acc: 0.056, valid_acc: 0.055
epoch: 61, step: 65, time: 31.7, train: 81.573, valid: 96.726, train_acc: 0.057, valid_acc: 0.058
epoch: 62, step: 66, time: 35.6, train: 79.663, valid: 98.640, train_acc: 0.065, valid_acc: 0.055
epoch: 63, step: 67, time: 34.3, train: 81.199, valid: 97.981, train_acc: 0.056, valid_acc: 0.048
epoch: 64, step: 68, time: 33.6, train: 81.197, valid: 97.946, train_acc: 0.046, valid_acc: 0.048
epoch: 65, step: 69, time: 33.8, train: 80.293, valid: 96.511, train_acc: 0.060, valid_acc: 0.045
epoch: 66, step: 70, time: 33.3, train: 79.053, valid: 95.466, train_acc: 0.055, valid_acc: 0.042
epoch: 67, step: 71, time: 32.8, train: 78.199, valid: 94.924, train_acc: 0.057, valid_acc: 0.043
epoch: 68, step: 72, time: 37.8, train: 78.329, valid: 94.522, train_acc: 0.058, valid_acc: 0.042
epoch: 69, step: 73, time: 36.9, train: 77.590, valid: 92.697, train_acc: 0.056, valid_acc: 0.041
epoch: 70, step: 74, time: 17.3, train: 73.322, valid: 90.787, train_acc: 0.059, valid_acc: 0.048
epoch: 70, step: 74, time: 11.3, train: 75.255, valid: 93.346, train_acc: 0.054, valid_acc: 0.037
epoch: 71, step: 75, time: 12.7, train: 74.012, valid: 92.916, train_acc: 0.062, valid_acc: 0.045
epoch: 72, step: 76, time: 11.5, train: 74.565, valid: 92.809, train_acc: 0.056, valid_acc: 0.045
epoch: 73, step: 77, time: 13.3, train: 74.604, valid: 92.472, train_acc: 0.063, valid_acc: 0.042
epoch: 74, step: 78, time: 12.5, train: 75.489, valid: 100.573, train_acc: 0.055, valid_acc: 0.047
epoch: 75, step: 79, time: 11.7, train: 75.086, valid: 100.271, train_acc: 0.058, valid_acc: 0.035
epoch: 76, step: 80, time: 10.5, train: 74.808, valid: 99.618, train_acc: 0.050, valid_acc: 0.040
epoch: 77, step: 81, time: 10.1, train: 77.582, valid: 100.059, train_acc: 0.053, valid_acc: 0.030
epoch: 78, step: 82, time: 12.9, train: 73.664, valid: 100.472, train_acc: 0.061, valid_acc: 0.032
epoch: 79, step: 83, time: 13.3, train: 72.892, valid: 99.123, train_acc: 0.064, valid_acc: 0.045
epoch: 80, step: 84, time: 13.9, train: 72.844, valid: 99.473, train_acc: 0.064, valid_acc: 0.037
epoch: 81, step: 85, time: 13.2, train: 72.629, valid: 99.588, train_acc: 0.067, valid_acc: 0.042
epoch: 82, step: 87, time: 31.8, train: 71.406, valid: 102.476, train_acc: 0.059, valid_acc: 0.039
epoch: 83, step: 88, time: 34.7, train: 73.092, valid: 93.677, train_acc: 0.064, valid_acc: 0.041
epoch: 84, step: 89, time: 37.3, train: 73.174, valid: 92.674, train_acc: 0.056, valid_acc: 0.042
epoch: 85, step: 90, time: 38.6, train: 72.201, valid: 92.338, train_acc: 0.060, valid_acc: 0.045
epoch: 86, step: 91, time: 41.7, train: 71.775, valid: 92.989, train_acc: 0.064, valid_acc: 0.041
epoch: 87, step: 92, time: 43.3, train: 72.907, valid: 93.064, train_acc: 0.054, valid_acc: 0.046
epoch: 88, step: 93, time: 39.3, train: 71.078, valid: 92.228, train_acc: 0.059, valid_acc: 0.046
epoch: 89, step: 95, time: 39.1, train: 76.024, valid: 100.773, train_acc: 0.056, valid_acc: 0.040
epoch: 90, step: 97, time: 43.3, train: 76.863, valid: 100.295, train_acc: 0.052, valid_acc: 0.035
epoch: 91, step: 99, time: 36.7, train: 75.848, valid: 101.233, train_acc: 0.062, valid_acc: 0.037
epoch: 92, step: 101, time: 41.7, train: 76.811, valid: 100.720, train_acc: 0.058, valid_acc: 0.042
epoch: 93, step: 103, time: 43.8, train: 75.460, valid: 100.015, train_acc: 0.058, valid_acc: 0.042
epoch: 94, step: 105, time: 41.9, train: 75.114, valid: 99.658, train_acc: 0.057, valid_acc: 0.037
epoch: 95, step: 107, time: 39.4, train: 76.034, valid: 99.214, train_acc: 0.058, valid_acc: 0.042
epoch: 96, step: 109, time: 38.0, train: 76.616, valid: 98.599, train_acc: 0.062, valid_acc: 0.045
epoch: 97, step: 111, time: 37.9, train: 75.089, valid: 99.545, train_acc: 0.057, valid_acc: 0.047
epoch: 98, step: 113, time: 40.3, train: 74.200, valid: 98.675, train_acc: 0.053, valid_acc: 0.045
epoch: 99, step: 115, time: 36.1, train: 74.028, valid: 98.106, train_acc: 0.065, valid_acc: 0.042
epoch: 100, step: 117, time: 37.9, train: 73.972, valid: 97.793, train_acc: 0.059, valid_acc: 0.042
epoch: 101, step: 118, time: 36.3, train: 68.383, valid: 97.951, train_acc: 0.066, valid_acc: 0.045
epoch: 102, step: 119, time: 36.4, train: 67.752, valid: 98.175, train_acc: 0.065, valid_acc: 0.047
epoch: 103, step: 120, time: 34.5, train: 68.053, valid: 97.172, train_acc: 0.061, valid_acc: 0.042
epoch: 104, step: 121, time: 35.3, train: 67.948, valid: 96.308, train_acc: 0.065, valid_acc: 0.045
epoch: 105, step: 122, time: 37.1, train: 68.034, valid: 96.104, train_acc: 0.065, valid_acc: 0.045
epoch: 106, step: 123, time: 35.8, train: 68.686, valid: 96.374, train_acc: 0.063, valid_acc: 0.047
epoch: 107, step: 124, time: 40.0, train: 66.732, valid: 96.156, train_acc: 0.064, valid_acc: 0.045
epoch: 108, step: 125, time: 37.3, train: 67.505, valid: 96.117, train_acc: 0.065, valid_acc: 0.045
